D1.model,D1.values,388.36 (3.0/2.0)
D2.model,D2.values,58 (3.0/2.0)
D3.model,D3.values,190 (3.0)
D4.model,D4.values,157 (3.0/2.0)
D5.model,D5.values,19 (2.0)
diabetes.model,diabetes.values,tested_positive (4.0)
iris.model,iris.values,Iris-virginica (3.0)
iris2D.model,iris2D.values,Iris-versicolor (48.0/1.0)
labor.model,labor.values,good (3.99)
hypothyroid.model,hypothyroid-2.values,negative (3366.31/2.0)
hypothyroid.model,hypothyroid-4.values,negative (56.17)
hypothyroid.model,hypothyroid-5.values,negative (30.75)
hypothyroid.model,hypothyroid-9.values,negative (2.0/1.0)
